,msg_sender,sender_text,quoted_sender,quoted_text,msg_datetime,read_more_btn
355,Eric Amit Dada,"Net Status 21-Jan,2023

VLR(A): 43.4M(+26.97K)
VLR(R): 45.13M(-7.25K)
HLR: 112.22M(+200.18K)
4G(A): 18.75M(-31.2K)
4G(R): 24.42M(-26.18K)
EL(WD): 5.54M(+949.55K)
ELSR: 98.53%(+0.19%)

Network Performance:
CSSR2G: 99.06%(-0.14%)
CDR2G: 0.37%(+0%)
CDR3G: 0.2%(+0.01%)
PSR: 94.48%(-0.26%)
LUSR: 98.86%(+0%)
MTCCR: 92.21%(-0.3%)
SMMTSR: 55.19%(-2.7%)

Traffic:
Voice:
2G(BH): 458.49K(-5.31K)
2G(WD): 4923.02K(+39.95K)
3G(BH): 256.71K(-6.56K)
3G(WD): 2951.36K(+125.18K)

Data:
GiTotal(TP): 1404.3Gbps(+116.36Gbps)
GiDL(FNA): 505.09Gbps
GiDL(GGC): 256.79Gbps
GiDL(BDIX): 4.70Gbps
2G(WD): 13.56TB(-0.22TB)
3G(WD): 575.75TB(-25.63TB)
4G(WD): 7827.26TB(-212.06TB)
TotalData: 8416.57TB(-237.91TB)

SMS:
SMMT(WD): 17.08M(-1503.27K)

IIG Peak Usage (Gbps) /Capacity (Gbps) /Uti (%…",,,2023-01-22 18:13,Read more
356,Fls Rokib,"22-Jan'23@17:15
BSC CSSR: No degradation
Voice Traffic: No degradation",,,2023-01-22 18:16,
357,Alauddin Vai,"DG sites update at 18:00 on 22-01-2023

CC:4
CGBSK06(Edotco): 18:00 22-01-23
CMMHG08(Edotco): 17:46 22-01-23

@Shifat Bro, plz check for RC",,,2023-01-22 18:20,
358,Shifat,Checking vaia,Alauddin Vai,"DG sites update at 18:00 on 22-01-2023

CC:4
CGBSK06(Edotco): 18:00 22-01-23
CMMHG08(Edotco): 17:46 22-01-23

 Bro, plz check for RC",2023-01-22 18:42,
359,Alauddin Vai,Have sites restored?,Sobuj RNM,"Incident Notification:
10 2G & 11 4G Sites in Comilla & Noakhali are down 
Severity: C3
FT: 17:03_22/01
ERT: 04 hrs
POP: CMMHG06,CMMHG01
Cause: Suspecting fiber cut at FHL end
Area: Manoharganj & Sonaimuri
Unit: FHL
Tracking ID: RDTXM2301221703",2023-01-22 18:45,
360,Arif RANFLS,"22-Jan'23@13:00
BSC CSSR: No degradation
Voice Traffic: No degradation",,,2023-01-22 14:09,
361,Gowranggo Risi,ICMP Delay & Packet Loss Update 22/01/2023 14:00,,,2023-01-22 14:19,
362,Shahin Vaia,"The Duty Handover to Morning shift at 14:45 on 22-Jan-2023:

SM: Alauddin 
CNM: Amit
TX_M: Sajol 
TX_FLS:  Jubaer to till 19:00 & Tanvir from 19:00
RAN_M: Sobuj
RAN_FLS: Rokib (Mail), Baten (CC & M Query) Sifath (Query, Phn calls, FTT) & Yousuf (Quality TT)

BO Support Concerns for this week (22 January to 28 January_2023)

CN_BO: CS_ Shankar & PS_ Farhad
TX_BO: Sobuj
RAN_BO: Feroz
OSS: Shakib
IP TNO: Ashraf
TSPR: Monoj
DCN_Net: Zobaarul

Major Concern: 

1. @RANFLS/SM, please check BSC/RNC Voice Traffic degradation, CSSR degradation update email from Network. Insight regular basis. 
@RANFLS from now on post the update every hour. 
@SM, Keep Tableau/Network Availability Dashboard under observation.

2. @RANFLS, don't reset any Gulshan's sites except jalal va…",,,2023-01-22 14:57,Read more
363,Shahin Vaia,"The Duty Handover to Evening shift at 14:45 on 22-Jan-2023:

SM: Alauddin 
CNM: Amit
TX_M: Sajol 
TX_FLS: Jubaer to till 19:00 & Tanvir from 19:00
RAN_M: Sobuj
RAN_FLS: Rokib (Mail), Baten (CC & M Query) Sifath (Query, Phn calls, FTT) & Yousuf (Quality TT)

BO Support Concerns for this week (22 January to 28 January_2023)

CN_BO: CS_ Shankar & PS_ Farhad
TX_BO: Sobuj
RAN_BO: Feroz
OSS: Shakib
IP TNO: Ashraf
TSPR: Monoj
DCN_Net: Zobaarul

Major Concern: 

1. @RANFLS/SM, please check BSC/RNC Voice Traffic degradation, CSSR degradation update email from Network. Insight regular basis. 
@RANFLS from now on post the update every hour. 
@SM, Keep Tableau/Network Availability Dashboard under observation.

2. @RANFLS, don't reset any Gulshan's sites except jalal vai…",,,2023-01-22 15:03,Read more
364,Sobuj RNM,"Update of Site Down at 15:00 On 22-01-2023

Region: 2G/3G/4G
National: 33/23/33

DHK_M: 2/0/1
DHK_N: 3/6/6
DHK_S: 2/2/3
DHK_O: 3/2/2
CTG_M: 1/0/2
CTG_N: 1/0/1
CTG_S: 3/3/3
COM: 1/0/0
NOA: 2/0/0
SYL: 4/1/1
MYM: 6/7/8
BAR: 3/2/4
KHL: 0/0/0
KUS: 1/0/1
RAJ: 0/0/0
RANG: 1/0/1",,,2023-01-22 15:09,
365,Txmonitoring,Fiber incident update at 15:00_22/01,,,2023-01-22 15:13,
366,Sobuj RNM,"Update of Site Down at 16:00 On 22-01-2023

Region: 2G/3G/4G
National: 33/24/37

DHK_M: 2/0/1
DHK_N: 4/4/6
DHK_S: 0/1/1
DHK_O: 5/5/6
CTG_M: 1/1/2
CTG_N: 2/1/2
CTG_S: 3/0/2
COM: 0/0/0
NOA: 2/1/1
SYL: 5/2/2
MYM: 3/6/7
BAR: 4/2/5
KHL: 1/1/1
KUS: 1/0/1
RAJ: 0/0/0
RANG: 0/0/0",,,2023-01-22 16:06,
367,Barsha,"@RANFLS, pls check DHNWG31 VSWR statusz",,,2023-01-22 16:15,
368,Shifat,Checking apu,Barsha,"@RANFLS, pls check DHNWG31 VSWR statusz",2023-01-22 16:16,
369,Eric Amit Dada,ICMP Delay & Packet Loss Update 22/01/2023 16:00,,,2023-01-22 16:23,
370,Eric Amit Dada,"Network Update
16:00_22/01/2023

PDP SR found 100% in all UGWs

Currently no Pending TT in the Core bucket

No Capping observed

No alarm found at ATIC

No Delay/Packet loss in Service Performance Report except Akhter Aamra to Facebbok and Alekharchar SCL to Facebook

No critical alarms found at PSA Report

CTO and CEBO traces are not running due to some security error

NCEIP QoS related issue raised to TxM/Tx_FLS (12:00_22/01/23)",,,2023-01-22 16:27,
371,Shifat,"VSWR found within acceptable range for both BB (DHNWG31B02, DHNWG31L)",Barsha,"@RANFLS, pls check DHNWG31 VSWR statusz",2023-01-22 16:31,
372,Sobuj RNM,"Update of Site Down at 17:00 On 22-01-2023

Region: 2G/3G/4G
National: 23/15/28

DHK_M: 2/0/1
DHK_N: 2/3/3
DHK_S: 0/0/0
DHK_O: 4/3/5
CTG_M: 0/0/1
CTG_N: 2/1/2
CTG_S: 2/1/3
COM: 0/1/3
NOA: 1/0/0
SYL: 6/1/3
MYM: 0/3/2
BAR: 2/2/3
KHL: 0/0/0
KUS: 1/0/1
RAJ: 0/0/0
RANG: 1/0/1",,,2023-01-22 17:03,
373,Shahin Vaia,"Saturday, 21 Jan 2023
Network Availability 99.59% (Friday 20 Jan, it was 99.77%)

Major Observation on Saturday:

(02 C-1, 01 C-2 & 13 C3 Incident impacted network CA)

At night time No other major observation

☆ During day time: 

In CTG_N: 

01 C1 (43 2G, 30 3G & 36 4G Sites) at CTG_N & CTG_S MTTR reported for 27 mins due to NTTN dual fiber cut where lowest CA 96.60% at 12:00 Hr 
☆ 01 C2 (23 2G & 25 4G Sites) for NTTN BTCL Triple fiber cut at CTG_N with MTTR of 03:07 Hrs (down from 17:25 to 19:58) &
(6 2G, 1 3G & 6 4G Sites) for NTTN SCL device malfunctioned at same region with MTTR of 03:12 
Hrs, though 24 Hrs overall CA was 98.40%.

In CTG_S: Lowest CA (98.60%)  (13 2G, 9 3G & 12 4G Sites) for NTTN FHL dual fiber cut at region with MTTR of 01:57 
Hrs 

I…",,,2023-01-22 11:23,Read more
374,Shahin Vaia,Cell Availability of 21th January-2023,,,2023-01-22 11:37,
375,Arif RANFLS,"22-Jan'23@10:45
BSC CSSR: No degradation
Voice Traffic: No degradation",,,2023-01-22 11:40,
376,Txmonitoring,Fiber incident update at 12:00_22/01,,,2023-01-22 12:04,
377,Md. Hasib Ur Rahman,"Update of Site Down at 12:00 On 22-01-2023

Region: 2G/3G/4G
National: 15/12/21

DHK_M: 2/0/1
DHK_N: 0/2/4
DHK_S: 0/0/0
DHK_O: 2/2/2
CTG_M: 1/0/2
CTG_N: 2/0/2
CTG_S: 0/0/0
COM: 0/1/1
NOA: 1/0/1
SYL: 0/0/0
MYM: 2/4/3
BAR: 2/1/2
KHL: 2/2/2
KUS: 0/0/0
RAJ: 1/0/1
RANG: 0/0/0",,,2023-01-22 12:05,
378,Gowranggo Risi,ICMP Delay & Packet Loss Update 22/01/2023 12:00,,,2023-01-22 12:18,
379,Gowranggo Risi,"Network Update
12:00_22/01/2023

PDP SR found 100% in all UGWs

Currently no Pending TT in the Core bucket

No Capping observed

No alarm found at ATIC

No Delay/Packet loss in Service Performance Report except Akhter & Pubile Mango and Alekharchar SCL to facebook

No critical alarms found at PSA Report

CTO and CEBO traces are not running due to some security error

NCEIP QoS related issue raised to TxM/Tx_FLS (12:00_22/01/23)",,,2023-01-22 12:22,
380,Gowranggo Risi,"Pending Incidents at 12:00_22/01/2023

Fiber Network:

1. NOSNM29(Sonaimuri Outer) to NOCTK18(Halima Dighirpar) BTCL fiber (Router to Router, Full break) is still down
Impact: No outage
Severity: C-3
FT: 23:00_20/01
ERT: Yet to share
Unit: Fiber Ops
Vendor: BTCL, Hamida (Robi Own)

2. NOSNB07(Khajuria_land_55m) to LXRGN06(Hanubaish) Robi  OSN and NOBGM07 (Noakhali)  to LXRGN06(Hanubaish) Robi DWDM and NOCTK18 to LXRGN06 (Router to Router) fibers are down 
Impact: No outage
Severity: C-3
FT: 22:46_21/01
ERT: Yet to share
Unit: Fiber Ops
Vendor: Hamida(Robi Own)


Others:

1. Remedy response is still slow
Impact: CR SLA is impacting badly. Also Fault & Quality TT handling within SLA is impacting as well
Severity: C-1
FT: 10:30_27/10
ERT: Yet to share
Cause: Ye…",,,2023-01-22 12:34,Read more
381,Arif RANFLS,"22-Jan'23@11:45
BSC CSSR: No degradation
Voice Traffic: No degradation",,,2023-01-22 12:36,
382,Md. Hasib Ur Rahman,"Update of Site Down at 13:00 On 22-01-2023

Region: 2G/3G/4G
National: 23/17/32

DHK_M: 2/0/2
DHK_N: 4/2/5
DHK_S: 0/0/2
DHK_O: 4/2/4
CTG_M: 2/1/3
CTG_N: 1/1/1
CTG_S: 0/0/0
COM: 2/1/2
NOA: 1/0/2
SYL: 0/0/0
MYM: 2/4/4
BAR: 3/3/4
KHL: 0/1/1
KUS: 2/2/2
RAJ: 0/0/0
RANG: 0/0/0",,,2023-01-22 13:05,
383,Gowranggo Risi,ICMP Delay & Packet Loss Update 22/01/2023 13:00,,,2023-01-22 13:15,
384,Md. Hasib Ur Rahman,"Update of Site Down at 14:00 On 22-01-2023

Region: 2G/3G/4G
National: 38/29/40

DHK_M: 4/2/2
DHK_N: 5/3/4
DHK_S: 0/1/2
DHK_O: 3/3/2
CTG_M: 2/2/4
CTG_N: 4/1/4
CTG_S: 3/4/4
COM: 0/0/0
NOA: 3/1/2
SYL: 4/1/1
MYM: 3/5/5
BAR: 4/5/6
KHL: 0/0/0
KUS: 2/1/3
RAJ: 1/0/1
RANG: 0/0/0",,,2023-01-22 14:08,
385,Md. Hasib Ur Rahman,"Close Notification:
2 2G, 1 3G & 2 4G Sites in Dhaka Outer are up
Severity: C3
FT: 04:02_22/01
RT: 09:50_22/01
DUR: 05:48
POP: DHSVR01
Cause: MMU faulty at POP
Action: e.co team resolved the issue
Remarks: Delayed due to spare management
Area: Savar
Unit: e.co
TT: INC000017927122",Mahafuj RNM,"Incident Notification:
2 2G, 1 3G & 2 4G Sites in Dhaka Outer are down
Severity: C3
FT: 04:02_22/01
ERT: 4 hrs
POP: DHSVR01
Cause: Suspecting fiber issue at SCL end
Area: Savar
Unit: SCL
Tracking ID: RDTXM2301220402",2023-01-22 10:38,
386,Saifuzzaman Saif,Bhaiya olny 3G technology found locked. All technology down due to Tx issue.,Halim Vai,"@Saifuzzaman Saif Bhai, pls check lock status of DHKTL44",2023-01-22 10:39,
387,AHM Jubayer,DHKTL44: Locked site(Critical relocation)_So far unlocked by somebody.,Saifuzzaman Saif,Bhaiya olny 3G technology found locked. All technology down due to Tx issue.,2023-01-22 10:50,
388,Halim Vai,pls keep the site locked again.,Saifuzzaman Saif,Bhaiya olny 3G technology found locked. All technology down due to Tx issue.,2023-01-22 10:50,
389,Saifuzzaman Saif,Cell down due to HW Partial Fault - FieldReplaceableUnit=RRU-1_B8_1.Also RRU found down. Need to replaced RRU asap.RRU-1_B8_1 ;BXP_2051 ;RRU2219B8 ; 1 ;   ON ;  ON ;  OFF ; N/A ;KRC161670/1     ;R1B     ;CD3V359455. Concern : E.co,Antu - CN,"@Saifuzzaman Saif bhai plz check....

GPKLK65 Top 5 VIP site 2G cell A CA 0 from 15 january to 21st January. What's the reason & what is the current status?",2023-01-22 10:53,
390,Jalal Vaia,"Small Cell update at 10:00 on 22-01-2023

ABHT:16
SYSDRL8: 09:33 22-01-23
RJSDR47: 09:29 22-01-23
NASDR40: 09:19 22-01-23
NASDR42: 09:13 22-01-23
CMSDRG5: 08:47 22-01-23
MASDR72: 08:20 22-01-23
MASDR73: 08:20 22-01-23
NOSNB64: 10:06 22-01-23
NOSNM77: 10:06 22-01-23
BRSDR85: 10:01 22-01-23
BRSDR86: 10:01 22-01-23
BRSDR87: 10:01 22-01-23
BRSDR83: 10:01 22-01-23
BRSDR84: 10:01 22-01-23
CMBRC55: 10:01 22-01-23
CMBRC56: 10:01 22-01-23

Edotco:1
DHTRG48: 10:05 22-01-23",,,2023-01-22 10:53,
391,Jalal Vaia,Pls post it in ABHT group,Jalal Vaia,"Small Cell update at 10:00 on 22-01-2023

ABHT:16
SYSDRL8: 09:33 22-01-23
RJSDR47: 09:29 22-01-23
NASDR40: 09:19 22-01-23
NASDR42: 09:13 22-01-23
CMSDRG5: 08:47 22-01-23
MASDR72: 08:20 22-01-23
MASDR73: 08:20 22-01-23
NOSNB64: 10:06 22-01-23
NOSNM77: 10:06 22-01-23
BRSDR85: 10:01 22-01-23
BRSDR86: 10:01 22-01-23
BRSDR87: 10:01 22-01-23
BRSDR83: 10:01 22-01-23
BRSDR84: 10:01 22-01-23
CMBRC55: 10:01 22-01-23
CMBRC56: 10:01 22-01-23

Edotco:1
DHTRG48: 10:05 22-01-23",2023-01-22 10:53,
392,Halim Vai,"@Shahin Vaia Bhai,",Jalal Vaia,Pls post it in ABHT group,2023-01-22 10:58,
393,Saifuzzaman Saif,"2G technology is now locked. Due to O&M down, 4G cannot be locked.",Halim Vai,pls keep the site locked again.,2023-01-22 11:03,
394,Md. Hasib Ur Rahman,"Update of Site Down at 11:00 On 22-01-2023

Region: 2G/3G/4G
National: 17/9/14

DHK_M: 2/0/1
DHK_N: 0/0/0
DHK_S: 0/0/0
DHK_O: 2/3/4
CTG_M: 2/0/1
CTG_N: 2/1/1
CTG_S: 2/0/0
COM: 1/1/2
NOA: 2/0/1
SYL: 0/0/0
MYM: 3/2/2
BAR: 1/1/1
KHL: 0/1/1
KUS: 0/0/0
RAJ: 0/0/0
RANG: 0/0/0",,,2023-01-22 11:04,
395,Mahafuj RNM,"Update of Site Down at 06:00 On 22-01-2023

Region: 2G/3G/4G
National: 19/9/20

DHK_M: 2/1/3
DHK_N: 0/1/2
DHK_S: 2/1/1
DHK_O: 4/2/4
CTG_M: 2/0/1
CTG_N: 3/1/3
CTG_S: 0/0/0
COM: 0/0/0
NOA: 3/0/2
SYL: 1/1/1
MYM: 0/0/0
BAR: 1/1/1
KHL: 0/1/1
KUS: 0/0/0
RAJ: 0/0/0
RANG: 1/0/1",,,2023-01-22 06:01,
396,tawhid vai,"Pending Incidents at 06:00_22/01/2023

Fiber Network:

1. NOSNM29(Sonaimuri Outer) to NOCTK18(Halima Dighirpar) BTCL fiber (Router to Router, Full break) is still down
Impact: No outage
Severity: C-3
FT: 23:00_20/01
ERT: Yet to share
Unit: Fiber Ops
Vendor: BTCL, Hamida (Robi Own)

2. NOSNB07(Khajuria_land_55m) to LXRGN06(Hanubaish) Robi  OSN and NOBGM07 (Noakhali)  to LXRGN06(Hanubaish) Robi DWDM and NOCTK18 to LXRGN06 (Router to Router) fibers are down 
Impact: No outage
Severity: C-3
FT: 22:46_21/01
ERT: Yet to share
Unit: Fiber Ops
Vendor: Hamida(Robi Own)

3. DHAPT24(Dhaka-1) to DHGULM1(DH0325) Robi IRU DWDM fiber is down
Impact: No outage
Severity: C-3
FT: 03:05_21/01
ERT: Yet to share
Unit: Fiber Ops
Vendor: Hamida(Robi IRU)

4. 2 2G, 1 3G & 2 4G Site…",,,2023-01-22 06:11,Read more
397,tawhid vai,ICMP Delay & Packet Loss Update 22/01/2023 06:00,,,2023-01-22 06:16,
398,tawhid vai,"Network Update
06:00_22/01/2023

PDP SR found 100% in all UGWs

Currently no Pending TT in the Core bucket

No Capping observed

No alarm found at ATIC

No Delay & Packet loss in Service Performance Report except Akhter & Alekharchar Aamra to facebook

No critical alarms found at PSA Report

CTO and CEBO traces are not running due to some security error

NCEIP QoS related issue raised to TxM/Tx_FLS (06:00_21/01/23)",,,2023-01-22 06:18,
399,Mahafuj RNM,"Update of Site Down at 23:00 On 21-01-2023

Region: 2G/3G/4G
National: 12/6/13

DHK_M: 2/0/2
DHK_N: 0/0/1
DHK_S: 2/1/1
DHK_O: 1/1/1
CTG_M: 0/0/0
CTG_N: 2/1/2
CTG_S: 0/0/0
COM: 0/0/0
NOA: 2/0/2
SYL: 1/1/1
MYM: 0/0/0
BAR: 1/1/1
KHL: 0/1/1
KUS: 0/0/0
RAJ: 0/0/0
RANG: 1/0/1",,,2023-01-21 23:04,
400,tawhid vai,ICMP Delay & Packet Loss Update 21/01/2023 23:00,,,2023-01-21 23:16,
401,Yousuf Vai,"21-Jan'23@22:45
BSC CSSR: No degradation
Voice Traffic: No degradation",,,2023-01-21 23:38,
402,Mahafuj RNM,"Update of Site Down at 00:00 On 22-01-2023

Region: 2G/3G/4G
National: 12/6/13

DHK_M: 2/0/2
DHK_N: 0/0/1
DHK_S: 2/1/1
DHK_O: 1/1/1
CTG_M: 0/0/0
CTG_N: 2/1/2
CTG_S: 0/0/0
COM: 0/0/0
NOA: 2/0/1
SYL: 1/1/2
MYM: 0/0/0
BAR: 1/1/1
KHL: 0/1/1
KUS: 0/0/0
RAJ: 0/0/0
RANG: 1/0/1",,,2023-01-22 00:01,
403,Txmonitoring,Fiber incident update at 00:00_22/02,,,2023-01-22 00:10,
404,tawhid vai,ICMP Delay & Packet Loss Update 22/01/2023 00:00,,,2023-01-22 00:23,
405,tawhid vai,"Pending Incidents at 00:00_22/01/2023

Fiber Network:

1. NOSNM29(Sonaimuri Outer) to NOCTK18(Halima Dighirpar) BTCL fiber (Router to Router, Full break) is still down
Impact: No outage
Severity: C-3
FT: 23:00_20/01
ERT: Yet to share
Unit: Fiber Ops
Vendor: BTCL, Hamida (Robi Own)

2. NOSNB07(Khajuria_land_55m) to LXRGN06(Hanubaish) Robi  OSN and NOBGM07 (Noakhali)  to LXRGN06(Hanubaish) Robi DWDM and NOCTK18 to LXRGN06 (Router to Router) fibers are down 
Impact: No outage
Severity: C-3
FT: 22:46_21/01
ERT: Yet to share
Unit: Fiber Ops
Vendor: Hamida(Robi Own)

Others:

1. Remedy response is still slow
Impact: CR SLA is impacting badly. Also Fault & Quality TT handling within SLA is impacting as well
Severity: C-1
FT: 10:30_27/10
ERT: Yet to share
Cause: Yet…",,,2023-01-22 00:26,Read more
406,Yousuf Vai,"21-Jan'23@23:45
BSC CSSR: No degradation
Voice Traffic: No degradation",,,2023-01-22 00:33,
407,Mahafuj RNM,"Update of Site Down at 01:00 On 22-01-2023

Region: 2G/3G/4G
National: 16/7/17

DHK_M: 2/0/3
DHK_N: 0/0/1
DHK_S: 2/1/1
DHK_O: 1/1/1
CTG_M: 0/0/0
CTG_N: 2/0/3
CTG_S: 0/0/0
COM: 0/0/0
NOA: 3/0/2
SYL: 4/3/3
MYM: 0/0/0
BAR: 1/1/1
KHL: 0/1/1
KUS: 0/0/0
RAJ: 0/0/0
RANG: 1/0/1",,,2023-01-22 01:06,
408,Mahafuj RNM,"Update of Site Down at 02:00 On 22-01-2023

Region: 2G/3G/4G
National: 17/9/19

DHK_M: 2/0/3
DHK_N: 0/1/2
DHK_S: 2/1/1
DHK_O: 1/1/1
CTG_M: 0/0/0
CTG_N: 2/0/3
CTG_S: 0/0/0
COM: 0/0/0
NOA: 4/0/3
SYL: 4/4/3
MYM: 0/0/0
BAR: 1/1/1
KHL: 0/1/1
KUS: 0/0/0
RAJ: 0/0/0
RANG: 1/0/1",,,2023-01-22 02:01,
409,Mahafuj RNM,"Update of Site Down at 03:00 On 22-01-2023

Region: 2G/3G/4G
National: 16/7/17

DHK_M: 2/0/3
DHK_N: 1/1/2
DHK_S: 2/1/1
DHK_O: 1/1/1
CTG_M: 0/0/0
CTG_N: 2/0/3
CTG_S: 0/0/0
COM: 0/0/0
NOA: 3/0/2
SYL: 3/2/2
MYM: 0/0/0
BAR: 1/1/1
KHL: 0/1/1
KUS: 0/0/0
RAJ: 0/0/0
RANG: 1/0/1",,,2023-01-22 03:01,
410,Txmonitoring,Fiber incident update at 03:00_22/01,,,2023-01-22 03:03,
411,Sobuj RNM,"Update of Site Down at 22:00 On 21-01-2023

Region: 2G/3G/4G
National: 15/9/15

DHK_M: 2/0/2
DHK_N: 0/0/0
DHK_S: 3/1/1
DHK_O: 1/1/2
CTG_M: 1/1/0
CTG_N: 2/1/2
CTG_S: 0/0/1
COM: 0/0/0
NOA: 2/0/2
SYL: 1/1/1
MYM: 1/1/1
BAR: 2/2/2
KHL: 0/1/1
KUS: 0/0/0
RAJ: 0/0/0
RANG: 0/0/0",,,2023-01-21 22:03,
412,__omi__,"The Duty Handover to Night shift at 22:15 on 21-Jan-2023:

SM: Yeaseen
CNM: Towhid vai
TX_M: Shibbir vi
TX_FLS: Rabbani Bro (From 1900)
RAN_M: Mahfuz 
RAN_FLS: Yousuf vai

BO Support Concerns for this week (15 January to 21 January_2023)

CN_BO: CS_ Arif & PS_ Abeer
TX_BO: Toriqul
RAN_BO: Zakeer
OSS: Paroma
IP TNO:  Abul Kashem
TSPR: Monoj
DCN_Net: Mostaq

Major Concern: 
1. @RANFLS/SM, please check BSC/RNC Voice Traffic degradation, CSSR degradation update email from Network. Insight regular basis. 
@RANFLS from now on post the update every hour. 
@SM, Keep Tableau/Network Availability Dashboard under observation.

2. @RANFLS, don't reset any Gulshan's sites except jalal vai's consent.

3. Please don’t open any Core site CR without Jalal Bhai’s concern.
(Bh…",,,2023-01-21 22:12,Read more
413,Fls Rokib,"21-Jan'23@20:45
BSC CSSR: No degradation
Voice Traffic: No degradation",,,2023-01-21 22:13,
414,Sajal,"@Sobuj RNM bhai, Please close site incident. Fiber 1 & 2 restored. BTCL team still working to restore fiber 3",Rabbani,"RMKKL05 Ring up by tuning,  after fiber restored,  IN PWR High was persisted. Now only one ring is down due to dual fiber cut",2023-01-21 20:31,
415,Eshtiuk Hossain,ICMP Delay & Packet Loss Update 21/01/2023 20:30,,,2023-01-21 20:38,
416,Sobuj RNM,"Close Notification:
23 2G & 25 4G Sites in Chittagong North are up
Severity: C2
FT: 17:25_21/01
RT1: 19:58_21/01[13 2G & 14 4G]
RT2: 20:32_21/01[10 2G & 11 4G]
DUR:  02:33 & 03:07
Cause: Triple fiber cut

Fiber 1: CGHTZ11(Egaromile) to RMKKL05(Ghagra) BTCL DWDM link
Fiber 2: RMSDR03(K. K. Roy Road) to RMNNC02(Betchari Land) BTCL DWDM link
Fiber 3: RMSDR03(K. K. Roy Road) to  RMKKL05(Ghagra) DWDM link

Action: Fiber 1 & 2  restored and BTCL team working to restore fiber 3
Area: Hathazari, Kawkhali, Rangamati Sadar, Rangunia & Raozan
Unit: BTCL
Tracking ID: RDTXM2301211725",Sajal,"@Sobuj RNM bhai, Please close site incident. Fiber 1 & 2 restored. BTCL team still working to restore fiber 3",2023-01-21 20:39,
417,Halim Vai,@Halim Vai. RRU installation done at GPSDRM5 site. Please unblock.,,,2023-01-21 20:39,
418,Halim Vai,"@SM POOL /RAN FLS, Pls unlock and share traffic status.",Halim Vai,@Halim Vai. RRU installation done at GPSDRM5 site. Please unblock.,2023-01-21 20:39,
419,__omi__,@baitul,Halim Vai,@Halim Vai. RRU installation done at GPSDRM5 site. Please unblock.,2023-01-21 21:01,
420,Sobuj RNM,"Update of Site Down at 21:00 On 21-01-2023

Region: 2G/3G/4G
National: 26/13/30

DHK_M: 2/0/2
DHK_N: 2/1/2
DHK_S: 3/3/2
DHK_O: 1/2/3
CTG_M: 1/0/0
CTG_N: 2/1/2
CTG_S: 1/0/1
COM: 0/0/1
NOA: 8/0/8
SYL: 1/0/1
MYM: 2/3/4
BAR: 2/2/2
KHL: 0/1/1
KUS: 0/0/0
RAJ: 1/0/1
RANG: 0/0/0",,,2023-01-21 21:02,
421,baitul,Found 4G LB cell and 2G TRX-3 of cell B are locked. Unlocked now. Both LB(4G) and TRX-3 of cell B(2G) are down now due to RRU disconnection issue.,Halim Vai,@Halim Vai. RRU installation done at GPSDRM5 site. Please unblock.,2023-01-21 21:07,
422,Alauddin Vai,"Dear All FTE,
Please checkout RCO_12th Floor group and share your changes to me only.
Thanks",,,2023-01-21 21:07,
423,Eshtiuk Hossain,"Network Update
21:00_21/01/2023

PDP SR found 100% in all UGWs except Pubail vUGW06 (SR 99.8%)

Currently no Pending TT in the Core bucket

No Capping observed

No alarm found at ATIC

No Delay & Packet loss in Service Performance Report except Akhter & Alekharchar Aamra to facebook and Alekharchar Aamra to youtube

No critical alarms found at PSA Report

CTO and CEBO traces are not running due to some security error

NCEIP QoS related issue raised to TxM/Tx_FLS (06:00_21/01/23)",,,2023-01-21 21:16,
424,Fls Rokib,Lock/Unlock Status,,,2023-01-21 21:25,
425,Sobuj RNM,"Close Notification:
6 2G & 6 4G Sites in Noakhali are up
Severity: C3
FT: 16:38_21/01
RT: 21:29_21/01
DUR: 04:51
POP: NOSBC07
Cause: SCL device was faulty at POP
Action: SCL team resolved the issue
Remarks: SCL team delayed to reach with spare
Area: Companiganj & Subarnachar
Unit: SCL
Tracking ID: RDTXM2301211638",,,2023-01-21 21:36,
426,Sajal,"Restored. 

Currently no outage incident",You,"Pending Incident 20:00 21-01-2023

23 2G & 25 4G Sites in Chittagong North
FT: 17:25_21/01
Cause: BTCL Dual Fiber Cut
ERT:  

6 2G & 6 4G Sites in Noakhali
FT: 16:38_21/01
Cause: SCL dual fiber cut
ERT: 80 mins",2023-01-21 21:36,
427,Txmonitoring,Fiber incident update at 21:30_21/01,,,2023-01-21 21:39,
428,Eshtiuk Hossain,ICMP Delay & Packet Loss Update 21/01/2023 22:00,,,2023-01-21 22:01,
429,baitul,"@__omi__ bhai, BSC generating alarm but not reported in ENM.",baitul,DBE50 No alarm reported since 14-01-22. We are checking with OSS.,2023-01-21 17:35,
430,Sobuj RNM,"Incident Notification:
23 2G & 25 4G Sites in Chittagong North are down
Severity: C2
FT: 17:25_21/01
ERT: 04 hrs
Cause: Dual fiber cut

Fiber 1: CGHTZ11(Egaromile) to RMKKL05(Ghagra) BTCL DWDM link
Fiber 2: RMSDR03(K. K. Roy Road) to RMNNC02(Betchari Land) BTCL DWDM link

Area: Hathazari, Kawkhali, Rangamati Sadar, Rangunia & Raozan
Unit: BTCL
Tracking ID: RDTXM2301211725",,,2023-01-21 17:36,
